person_id,sources
47696,CIE 1958
47613,CIE 1958
51981,CIE 1958
51298,CIE 1958
52227,CIE 1958
52097,CIE 1958
50005,CIE 1958
75976,CIE 1958
50360,CIE 1958
38304,CIE 1958
38286,CIE 1958
38410,CIE 1958
17591,CIE 1958
16534,CIE 1958
43890,CIE 1958
44391,CIE 1958
44210,CIE 1958
50850,CIE 1958
50557,CIE 1958
50858,CIE 1958
65651,CIE 1958
70846,CIE 1958
65686,CIE 1958
46857,CIE 1958
48783,CIE 1958
4285,CIE 1958
4239,CIE 1958
62909,CIE 1958
62899,CIE 1958
49018,CIE 1958
48833,CIE 1958
2868,CIE 1958
77134,CIE 1958
3100,CIE 1958
2965,CIE 1958
3607,CIE 1958
2334,CIE 1958
8593,CIE 1958
7183,CIE 1958
7181,CIE 1958
1165,CIE 1958
1160,CIE 1958
1075,CIE 1958
6648,CIE 1958
7242,CIE 1958
1188,CIE 1958
7266,CIE 1958
42675,CIE 1958
39480,CIE 1958
42667,CIE 1958
39445,CIE 1958
56692,CIE 1958
55712,CIE 1958
55714,CIE 1958
55646,CIE 1958
56641,CIE 1958
55705,CIE 1958
56628,CIE 1958
56604,CIE 1958
56295,CIE 1958
26408,CIE 1958
24716,CIE 1958
25766,CIE 1958
22864,CIE 1958
27318,CIE 1958
24792,CIE 1958
22837,CIE 1958
24787,CIE 1958
4858,CIE 1958
4841,CIE 1958
15887,CIE 1958
5302,CIE 1958
5322,CIE 1958
38254,CIE 1958
3585,CIE 1958
52659,CIE 1958
52352,CIE 1958
65572,CIE 1958
61591,CIE 1958
20715,CIE 1958
22392,CIE 1958
20675,CIE 1958
22326,CIE 1958
16708,CIE 1958
24330,CIE 1958
26139,CIE 1958
23507,CIE 1958
16657,CIE 1958
24275,CIE 1958
17377,CIE 1958
24086,CIE 1958
26729,CIE 1958
26925,CIE 1958
18517,CIE 1958
31136,CIE 1958
17498,CIE 1958
28289,CIE 1958
14965,CIE 1958
17400,CIE 1958
19754,CIE 1958
27756,CIE 1958
20057,CIE 1958
16249,CIE 1958
20648,CIE 1958
12851,CIE 1958
26874,CIE 1958
31203,CIE 1958
63516,CIE 1958
64321,CIE 1958
63184,CIE 1958
63555,CIE 1958
64963,CIE 1958
64504,CIE 1958
64495,CIE 1958
66339,CIE 1958
67604,CIE 1958
77203,CIE 1958
64716,CIE 1958
66909,CIE 1958
66691,CIE 1958
64616,CIE 1958
66659,CIE 1958
64799,CIE 1958
63428,CIE 1958
61342,CIE 1958
66262,CIE 1958
66465,CIE 1958
66467,CIE 1958
66898,CIE 1958
63033,CIE 1958
67492,CIE 1958
69613,CIE 1958
60469,CIE 1958
60460,CIE 1958
60465,CIE 1958
66769,CIE 1958
62954,CIE 1958
61399,CIE 1958
62619,CIE 1958
17934,CIE 1958
15717,CIE 1958
17922,CIE 1958
15873,CIE 1958
18164,CIE 1958
20866,CIE 1958
19047,CIE 1958
7622,CIE 1958
7720,CIE 1958
60825,CIE 1958
61622,CIE 1958
62230,CIE 1958
60164,CIE 1958
60746,CIE 1958
48883,CIE 1958
48954,CIE 1958
48965,CIE 1958
48897,CIE 1958
53479,CIE 1958
54615,CIE 1958
54625,CIE 1958
45306,CIE 1958
39150,CIE 1958
39152,CIE 1958
46651,CIE 1958
46419,CIE 1958
46602,CIE 1958
46599,CIE 1958
53731,CIE 1958
21227,CIE 1958
62804,CIE 1958
68947,CIE 1958
44637,CIE 1958
21458,CIE 1958
53932,CIE 1958
54083,CIE 1958
35366,CIE 1958
46118,CIE 1958
44835,CIE 1958
45448,CIE 1958
45516,CIE 1958
44820,CIE 1958
46193,CIE 1958
38461,CIE 1958
37369,CIE 1958
38486,CIE 1958
43025,CIE 1958
43058,CIE 1958
42979,CIE 1958
6240,CIE 1958
6258,CIE 1958
42521,CIE 1958
14770,CIE 1958
14821,CIE 1958
19701,CIE 1958
15240,CIE 1958
43626,CIE 1958
43374,CIE 1958
43614,CIE 1958
54695,CIE 1958
54697,CIE 1958
71136,CIE 1958
71388,CIE 1958
71368,CIE 1958
53837,CIE 1958
53816,CIE 1958
53860,CIE 1958
15825,CIE 1958
3473,CIE 1958
3406,CIE 1958
19843,CIE 1958
40033,CIE 1958
40001,CIE 1958
40102,CIE 1958
42389,CIE 1958
42380,CIE 1958
42004,CIE 1958
42046,CIE 1958
41537,CIE 1958
41170,CIE 1958
42036,CIE 1958
41251,CIE 1958
42426,CIE 1958
42332,CIE 1958
42214,CIE 1958
41396,CIE 1958
41677,CIE 1958
32558,CIE 1958
46881,CIE 1958
47348,CIE 1958
47365,CIE 1958
18326,CIE 1958
36044,CIE 1958
44075,CIE 1958
28021,CIE 1958
28085,CIE 1958
50608,CIE 1958
50617,CIE 1958
49433,CIE 1958
50590,CIE 1958
50208,CIE 1958
49359,CIE 1958
53960,CIE 1958
57299,CIE 1958
57508,CIE 1958
58817,CIE 1958
54917,CIE 1958
53948,CIE 1958
47765,CIE 1958
47767,CIE 1958
30992,CIE 1958
67734,CIE 1958
67853,CIE 1958
69459,CIE 1958
67851,CIE 1958
67160,CIE 1958
66414,CIE 1958
60287,CIE 1958
60203,CIE 1958
65748,CIE 1958
65331,CIE 1958
61912,CIE 1958
63761,CIE 1958
65845,CIE 1958
66072,CIE 1958
66059,CIE 1958
66056,CIE 1958
57351,CIE 1958
59902,CIE 1958
55170,CIE 1958
63704,CIE 1958
59778,CIE 1958
60407,CIE 1958
49923,CIE 1958
49888,CIE 1958
52467,CIE 1958
21141,CIE 1958
47972,CIE 1958
48047,CIE 1958
39633,CIE 1958
40089,CIE 1958
40047,CIE 1958
39686,CIE 1958
39831,CIE 1958
29062,CIE 1958
77558,CIE 1958
20140,CIE 1958
14612,CIE 1958
12940,CIE 1958
13141,CIE 1958
33713,CIE 1958
2367,CIE 1958
2392,CIE 1958
13314,CIE 1958
12585,CIE 1958
8888,CIE 1958
12597,CIE 1958
8895,CIE 1958
63974,CIE 1958
64013,CIE 1958
48205,CIE 1958
57071,CIE 1958
58167,CIE 1958
57925,CIE 1958
9906,CIE 1958
10099,CIE 1958
53422,CIE 1958
49721,CIE 1958
47457,CIE 1958
51747,CIE 1958
51749,CIE 1958
51769,CIE 1958
51863,CIE 1958
51791,CIE 1958
51870,CIE 1958
21055,CIE 1958
32266,CIE 1958
22514,CIE 1958
22041,CIE 1958
16256,CIE 1958
10705,CIE 1958
41296,CIE 1958
46299,CIE 1958
36398,CIE 1958
19368,CIE 1958
33350,CIE 1958
34652,CIE 1958
39007,CIE 1958
15654,CIE 1958
29765,CIE 1958
13740,CIE 1974
14153,CIE 1974
21327,CIE 1974
2005,CIE 1974
2140,CIE 1974
29496,CIE 1974
33002,CIE 1974
33370,CIE 1974
33053,CIE 1974
25299,CIE 1974
36734,CIE 1974
24935,CIE 1974
11875,CIE 1974
11828,CIE 1974
29103,CIE 1974
36434,CIE 1974
37676,CIE 1974
25312,CIE 1974
11114,CIE 1974
11153,CIE 1974
30715,CIE 1974
24060,CIE 1974
24020,CIE 1974
31553,CIE 1974
30097,CIE 1974
6919,CIE 1974
52765,CIE 1974
56046,CIE 1974
56233,CIE 1974
20217,CIE 1974
20410,CIE 1974
11417,CIE 1974
15343,CIE 1974
16581,CIE 1974
11358,CIE 1974
15046,CIE 1974
14300,CIE 1974
19652,CIE 1974
11344,CIE 1974
11455,CIE 1974
11228,CIE 1974
71112,CIE 1974
53168,CIE 1974
53177,CIE 1974
7870,CIE 1974
38864,CIE 1974
37509,CIE 1974
36139,CIE 1974
37260,CIE 1974
44741,CIE 1974
33944,CIE 1974
36301,CIE 1974
21535,CIE 1974
36320,CIE 1974
44511,CIE 1974
38871,CIE 1974
48356,CIE 1974
54188,CIE 1974
54836,CIE 1974
38774,CIE 1974
43292,CIE 1974
54186,CIE 1974
47811,CIE 1974
8979,CIE 1974
6464,CIE 1974
5949,CIE 1974
10282,CIE 1974
6700,CIE 1974
18555,CIE 1974
18881,CIE 1974
56931,CIE 1974
35253,CIE 1974
35174,CIE 1974
29046,CIE 1974
71796,CIE 1974
14370,CIE 1974
9850,CIE 1974
9805,CIE 1974
10439,CIE 1974
9861,CIE 1974
51184,CIE 1974
51212,CIE 1974
34951,CIE 1974
69221,CIE 1974
41860,CIE 1974
40290,CIE 1974
40416,CIE 1974
40512,CIE 1974
40467,CIE 1974
40544,CIE 1974
40493,CIE 1974
40339,CIE 1974
40368,CIE 1974
41766,CIE 1974
40372,CIE 1974
41780,CIE 1974
68622,CIE 1974
60977,CIE 1974
72709,CIE 1974
59453,CIE 1974
59348,CIE 1974
61153,CIE 1974
61515,CIE 1974
68457,CIE 1974
65455,CIE 1974
65352,CIE 1974
65101,CIE 1974
68150,CIE 1974
70985,CIE 1974
71099,CIE 1974
70961,CIE 1974
47565,CIE 1974
47696,CIE 1974
52227,CIE 1974
51981,CIE 1974
51298,CIE 1974
50005,CIE 1974
52097,CIE 1974
38410,CIE 1974
38286,CIE 1974
38304,CIE 1974
16534,CIE 1974
17591,CIE 1974
44391,CIE 1974
44210,CIE 1974
50858,CIE 1974
65686,CIE 1974
65729,CIE 1974
70846,CIE 1974
4285,CIE 1974
62899,CIE 1974
77134,CIE 1974
3100,CIE 1974
2868,CIE 1974
1188,CIE 1974
6648,CIE 1974
8208,CIE 1974
7183,CIE 1974
1075,CIE 1974
