person_id,societies,societies_number,societies_date,societies_status
9656,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
9805,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
9850,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
51212,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
51184,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
34948,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
35666,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
34951,Chinese Institute of Engineers 中華工程師學會,558,by 1953,Full
69221,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
40290,Chinese Institute of Engineers 中華工程師學會,1037,by 1953,Full
40368,Chinese Institute of Engineers 中華工程師學會,1115,by 1953,Full
41766,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
40493,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
40416,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
40544,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
40339,Chinese Institute of Engineers 中華工程師學會,1728,by 1953,Full
69354,Chinese Institute of Engineers 中華工程師學會,1514,by 1953,Full
60930,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
61010,Chinese Institute of Engineers 中華工程師學會,1331,by 1953,Full
59504,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
68457,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
68475,Chinese Institute of Engineers 中華工程師學會,1642,by 1953,Full
72709,Chinese Institute of Engineers 中華工程師學會,1378,by 1953,Full
77346,Chinese Institute of Engineers 中華工程師學會,829,by 1953,Full
61295,Chinese Institute of Engineers 中華工程師學會,1189,by 1953,Full
61153,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
61515,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
59453,Chinese Institute of Engineers 中華工程師學會,794,by 1953,Full
65101,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
65352,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
65455,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
54803,Chinese Institute of Engineers 中華工程師學會,1122,by 1953,Assistant
3499,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Assistant
51981,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
51298,Chinese Institute of Engineers 中華工程師學會,781,by 1953,Full
52097,Chinese Institute of Engineers 中華工程師學會,1094,by 1953,Full
50005,Chinese Institute of Engineers 中華工程師學會,1332,by 1953,Full
75976,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
50360,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Assistant
38304,Chinese Institute of Engineers 中華工程師學會,1051,by 1953,Full
38286,Chinese Institute of Engineers 中華工程師學會,1385,by 1953,Full
38410,Chinese Institute of Engineers 中華工程師學會,1606,by 1953,Full
17649,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
16534,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
44391,Chinese Institute of Engineers 中華工程師學會,1172,by 1953,Full
44210,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,NA
43972,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,NA
50850,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
50557,Chinese Institute of Engineers 中華工程師學會,1215,by 1953,Full
65651,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
70846,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
65686,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
46857,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
4285,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
62909,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
62899,Chinese Institute of Engineers 中華工程師學會,503,by 1953,Full
49018,Chinese Institute of Engineers 中華工程師學會,1213,by 1953,Full
48833,Chinese Institute of Engineers 中華工程師學會,1374,by 1953,Full
2868,Chinese Institute of Engineers 中華工程師學會,1014,by 1953,Full
77134,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
2965,Chinese Institute of Engineers 中華工程師學會,1549,by 1953,Full
3202,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
3607,Chinese Institute of Engineers 中華工程師學會,1621,by 1953,Assistant
2334,Chinese Institute of Engineers 中華工程師學會,1552,by 1953,Full
