employer_id,employer_name,location_id,parent_id,parent_name
2376,上海無線電總台,877,NA,NA
2379,漢口電報局,2380,NA,NA
2382,汕頭無線電話台,2383,NA,NA
2396,杭州蕙蘭中學,999,NA,NA
2398,蘇州晏成中學,1315,NA,NA
2401,University of Nanking 南京金陵大學,90,NA,NA
2403,滬江大學,877,NA,NA
2405,常州中學,2406,NA,NA
2408,東吳大學,23132,NA,NA
2414,南通紡織專門學校,562,NA,NA
2416,Ministry of Finance 財政部,90,NA,NA
2441,西北實業公司製紙廠,NA,NA,NA
2447,上海天利淡氣廠,877,NA,NA
2453,浦信鐵路,NA,NA,NA
2455,黑龍江第一中學,65,NA,NA
2457,Zhoujiakou–Xiangyang Railway 周襄鐵路,410,NA,NA
2459,閩江濬河局,61,NA,NA
2461,北京市政公署,410,NA,NA
2466,閩江縂局,61,NA,NA
2468,閩江工程處,61,NA,NA
2474,Ministry of Economy 經濟部,1270,NA,NA
2476,宜賓電廠籌備處,2477,NA,NA
2485,東省鐵路,NA,NA,NA
2487,紀延齡工程事務所,NA,NA,NA
2495,河南鄭州電報局,2496,NA,NA
2501,Zhejiang University 浙江大學,999,NA,NA
2503,高工機械科,NA,NA,NA
2513,Liaoning–Hailong Railway 奉海鐵路/瀋海鐵路,511,NA,NA
2518,山東運河工程局,1177,NA,NA
2551,國際電台,NA,NA,NA
2553,煙臺長短波無線電台,NA,NA,NA
2555,廈門電報局,886,NA,NA
2574,日本染料工廠,258,NA,NA
2576,日本帝大研究室,258,NA,NA
2578,八幡製鐵所,258,NA,NA
2587,Shanghai Central Mint 上海中央造幣廠,877,NA,NA
2591,杭州造紙廠,999,NA,NA
2593,上海中華造船廠,877,NA,NA
2595,西安機器局,2596,NA,NA
2598,中孚染織廠,NA,NA,NA
2600,湖北省公路局,68,NA,NA
2604,Siemens Co.,121,NA,NA
2613,Kwang Hua University 光華大學,877,NA,NA
2615,上海西門子洋行,877,NA,NA
2617,National Defense Planning Commission 國防設計委員會,90,NA,NA
2620,Ministry of Communications 交通部,NA,NA,NA
2628,日本遞信省,258,NA,NA
2631,青島電報局,2331,NA,NA
2646,威海衞管理公署,NA,NA,NA
2650,上海新通公司,877,NA,NA
2652,大公職業學校,NA,NA,NA
2655,首都電廠助理,90,NA,NA
2663,京畿水災河工督辦處,NA,NA,NA
2667,包寧鐵路,NA,NA,NA
2675,揚子建業公司,NA,NA,NA
2681,Chengdu–Chongqing Railway 成渝鐵路,1270,NA,NA
2687,杭州武林鐵工廠,999,NA,NA
2689,臨城煤礦,2690,NA,NA
2692,柳江煤礦,2693,NA,NA
2698,浙江省立甲種學校,62,NA,NA
2712,Beiping University 北平大學,410,NA,NA
2714,中國大學,NA,NA,NA
2716,平民大學,NA,NA,NA
2718,中國公學,NA,NA,NA
2742,Zhongyuan Coal Mine Company 河南李河中原煤礦公司,3074,NA,NA
2750,Metropolitan-Vickers Elec. C.,125,NA,NA
2759,福建公用局,61,NA,NA
2761,衡陽電廠,459,NA,NA
2763,安徽省立第一職校汽車科,60,NA,NA
2766,河南鞏縣兵工廠,1002,NA,NA
2768,藝徒學校教務,NA,NA,NA
2770,製磚所,NA,NA,NA
2792,綏遠五原屯墾督辦公署,NA,NA,NA
2800,秦皇島柳江煤礦,2801,NA,NA
2804,山西保晉公司,76,NA,NA
2806,察哈爾建設廳,13060,NA,NA
2808,復州灣煤礦局,NA,NA,NA
2810,山西渾源中學,2797,NA,NA
2827,Qiangtan River Bridge Engineering Department 錢塘江橋工程處,999,NA,NA
2833,陝西華洋,78,NA,NA
2845,北平研究院,410,NA,NA
2851,廣西工程專門學校,73,NA,NA
2867,綏遠建設廳,96,NA,NA
2871,漢口無線電話台,2380,NA,NA
2896,北平故宮博物院,410,NA,NA
2903,福建長樂縣溉田,1725,NA,NA
2934,中福礦務大學,NA,NA,NA
2939,河南省度量衡檢定所,66,NA,NA
2948,Agfa,121,NA,NA
2953,大同大學,877,NA,NA
2955,上海聯益化學工程事務所,877,NA,NA
2957,同德醫學院,2958,NA,NA
2960,星光照相化學廠,NA,NA,NA
2962,德商愛禮司洋行,NA,NA,NA
2989,藝員養成所,NA,NA,NA
2994,廣水機務分段,2995,NA,NA
3006,Wuchang Hydroelectric Power 武昌水電廠,1036,NA,NA
3026,濟南電燈公司,1177,NA,NA
3028,濟南市社會局,1177,NA,NA
3039,河南鎮平工藝學校,3040,NA,NA
3047,嶺南大學,1072,NA,NA
3063,Ateliers de Constructions Electriques de Charleroi,3064,NA,NA
3066,英中國使館,3067,NA,NA
3070,總機廠,NA,NA,NA
3087,North China Water Conservancy Commission 華北水利委員會,427,NA,NA
3093,Shandong University 山東大學,1177,NA,NA
3098,新嘉坡總領事,3099,NA,NA
3104,名古屋鐵路局,3105,NA,NA
3109,漢口市政府,2380,NA,NA
3111,湖北水利局,68,NA,NA
3125,Hunan Construction Bureau 湖南建設廳,67,NA,NA
3127,湖南第一紡紗廠,67,NA,NA
3129,川康藏電政管理局,NA,NA,NA
3141,上海中華無線電研究社,877,NA,NA
3149,Chinese Engineering and Mining Company 開灤礦務局,445,NA,NA
