person_id,sources
1355,Qinghua daxue tumu gongcheng xuehui huikan (1944)
1358,Gongchengren minglu (1941)
1361,Gongchengren minglu (1941)
1363,Gongchengren minglu (1941)
1366,Gongchengren minglu (1941)
1373,Gongchengren minglu (1941)
1375,Gongchengren minglu (1941)
1377,Gongchengren minglu (1941)
1381,Gongchengren minglu (1941)
1381,Who's Who in China (1936)
1381,Chinese Students Directory (1931)
1399,Gongchengren minglu (1941)
1399,Gongcheng xuehui huibao (1919)
1408,Gongchengren minglu (1941)
1414,Gongchengren minglu (1941)
1424,Gongchengren minglu (1941)
1426,Gongchengren minglu (1941)
1432,Gongchengren minglu (1941)
1458,Gongchengren minglu (1941)
1464,Gongchengren minglu (1941)
1469,Gongchengren minglu (1941)
1471,Gongchengren minglu (1941)
1475,Gongchengren minglu (1941)
1479,Gongchengren minglu (1941)
1481,Gongchengren minglu (1941)
1481,Zhongguo ranhua jinian kan (1940)
1486,Gongchengren minglu (1941)
1489,Gongchengren minglu (1941)
1492,Gongchengren minglu (1941)
1497,Gongchengren minglu (1941)
1513,Gongchengren minglu (1941)
1518,Gongchengren minglu (1941)
1521,Gongchengren minglu (1941)
1528,Gongchengren minglu (1941)
1532,Gongchengren minglu (1941)
1538,Gongchengren minglu (1941)
1543,Gongchengren minglu (1941)
1558,Gongchengren minglu (1941)
1563,Gongchengren minglu (1941)
1566,Gongchengren minglu (1941)
1572,Gongchengren minglu (1941)
1575,Gongchengren minglu (1941)
1577,Gongchengren minglu (1941)
1580,Gongchengren minglu (1941)
1588,Gongchengren minglu (1941)
1591,Gongchengren minglu (1941)
1596,Gongchengren minglu (1941)
1596,Diangong (1947)
1603,Gongchengren minglu (1941)
1603,Gongcheng xuehui huibao (1919)
1606,Gongchengren minglu (1941)
1611,Gongchengren minglu (1941)
1613,Gongchengren minglu (1941)
1617,Gongchengren minglu (1941)
1617,Zhongguo ranhua jinian kan (1940)
1620,Gongchengren minglu (1941)
1625,Gongchengren minglu (1941)
1629,Gongchengren minglu (1941)
1629,Tumu gongcheng (1935)
1632,Gongchengren minglu (1941)
1635,Gongchengren minglu (1941)
1639,Gongchengren minglu (1941)
1642,Gongchengren minglu (1941)
1654,Gongchengren minglu (1941)
1658,Gongchengren minglu (1941)
1663,Gongchengren minglu (1941)
1663,Zhonghua gongchengshi xuehui huiyuanlu (1924)
1668,Gongchengren minglu (1941)
1670,Gongchengren minglu (1941)
1673,Gongchengren minglu (1941)
1677,Gongchengren minglu (1941)
1681,Gongchengren minglu (1941)
1691,Gongchengren minglu (1941)
1693,Gongchengren minglu (1941)
1699,Gongchengren minglu (1941)
1707,Gongchengren minglu (1941)
1710,Gongchengren minglu (1941)
1710,Qinghua daxue tumu gongcheng xuehui huikan (1949)
1710,Qinghua daxue tumu gongcheng xuehui huikan (1944)
1713,Gongchengren minglu (1941)
1728,Gongchengren minglu (1941)
1739,Gongchengren minglu (1941)
1743,Gongchengren minglu (1941)
1745,Gongchengren minglu (1941)
1747,Gongchengren minglu (1941)
1755,Gongchengren minglu (1941)
1768,Gongchengren minglu (1941)
1778,Gongchengren minglu (1941)
1781,Gongchengren minglu (1941)
1796,Gongchengren minglu (1941)
1796,Diangong (1947)
1796,Who's Who in China (1936)
1816,Gongchengren minglu (1941)
1822,Gongchengren minglu (1941)
1826,Gongchengren minglu (1941)
1829,Gongchengren minglu (1941)
1831,Gongchengren minglu (1941)
1836,Gongchengren minglu (1941)
1838,Gongchengren minglu (1941)
1844,Gongchengren minglu (1941)
1846,Gongchengren minglu (1941)
1856,Gongchengren minglu (1941)
1866,Gongchengren minglu (1941)
1872,Gongchengren minglu (1941)
1874,Gongchengren minglu (1941)
1874,Qinghua daxue tumu gongcheng xuehui huikan (1949)
1874,Qinghua daxue tumu gongcheng xuehui huikan (1944)
1880,Gongchengren minglu (1941)
1884,Gongchengren minglu (1941)
1887,Gongchengren minglu (1941)
1890,Gongchengren minglu (1941)
1896,Gongchengren minglu (1941)
1896,Qinghua daxue tumu gongcheng xuehui huikan (1949)
1896,Qinghua daxue tumu gongcheng xuehui huikan (1944)
1898,Gongchengren minglu (1941)
1900,Gongchengren minglu (1941)
1902,Gongchengren minglu (1941)
1905,Gongchengren minglu (1941)
1917,Gongchengren minglu (1941)
1918,Gongchengren minglu (1941)
1921,Gongchengren minglu (1941)
1922,Gongchengren minglu (1941)
1925,Gongchengren minglu (1941)
1929,Gongchengren minglu (1941)
1930,Gongchengren minglu (1941)
