person_id,societies,societies_number,societies_date,societies_status
2002,NA,NA,Republican era,NA
2005,NA,NA,Republican era,NA
2007,NA,NA,Republican era,NA
2009,NA,NA,Republican era,NA
2011,China Hydraulic Engineering Society 中國水利工程學會,NA,Republican era,NA
2026,NA,NA,Republican era,NA
2029,NA,NA,Republican era,NA
2031,NA,NA,Republican era,NA
2034,NA,NA,Republican era,NA
2041,NA,NA,Republican era,NA
2052,NA,NA,Republican era,NA
2057,China Engineering Society 中國工程學會,NA,Republican era,NA
2059,NA,NA,Republican era,NA
2061,NA,NA,Republican era,NA
2064,NA,NA,Republican era,NA
2067,NA,NA,Republican era,NA
2070,NA,NA,Republican era,NA
2073,NA,NA,Republican era,NA
2075,NA,NA,Republican era,NA
2100,NA,NA,Republican era,NA
2113,NA,NA,Republican era,NA
2119,NA,NA,Republican era,NA
2136,NA,NA,Republican era,NA
2140,NA,NA,Republican era,NA
2149,NA,NA,Republican era,NA
2159,NA,NA,Republican era,NA
2162,NA,NA,Republican era,NA
2171,NA,NA,Republican era,NA
2193,NA,NA,Republican era,NA
2195,NA,NA,Republican era,NA
2198,NA,NA,Republican era,NA
2209,NA,NA,Republican era,NA
2211,NA,NA,Republican era,NA
2219,NA,NA,Republican era,NA
2229,NA,NA,Republican era,NA
2235,NA,NA,Republican era,NA
2254,Chinese Institute of Engineers 中華工程師學會,NA,Republican era,NA
2276,NA,NA,Republican era,NA
2289,NA,NA,Republican era,NA
2291,NA,NA,Republican era,NA
2295,NA,NA,Republican era,NA
2302,China Hydraulic Engineering Society 中國水利工程學會,NA,Republican era,NA
2306,NA,NA,Republican era,NA
2309,NA,NA,Republican era,NA
2312,NA,NA,Republican era,NA
2315,NA,NA,Republican era,NA
2326,NA,NA,Republican era,NA
2332,NA,NA,Republican era,NA
2334,NA,NA,Republican era,NA
2344,NA,NA,Republican era,NA
2346,NA,NA,Republican era,NA
2348,NA,NA,Republican era,NA
2351,NA,NA,Republican era,NA
2355,NA,NA,Republican era,NA
2367,Chinese Institute of Electrical Engineers 中國電機工程師學會,NA,Republican era,NA
2384,NA,NA,Republican era,NA
2386,China Engineering Society 中國工程學會,NA,Republican era,NA
2389,NA,NA,Republican era,NA
2392,NA,NA,Republican era,NA
2409,NA,NA,Republican era,NA
2411,NA,NA,Republican era,NA
2417,NA,NA,Republican era,NA
2423,NA,NA,Republican era,NA
2426,NA,NA,Republican era,NA
2428,Chinese Institute of Mining and Metallurgy 中國礦冶工程學會,NA,Republican era,NA
2432,NA,NA,Republican era,NA
2434,NA,NA,Republican era,NA
2437,NA,NA,Republican era,NA
2442,NA,NA,Republican era,NA
2449,NA,NA,Republican era,NA
2469,Chinese Institute of Electrical Engineers 中國電機工程師學會,NA,Republican era,NA
2478,NA,NA,Republican era,NA
2480,NA,NA,Republican era,NA
2488,NA,NA,Republican era,NA
2492,NA,NA,Republican era,NA
2497,NA,NA,Republican era,NA
2504,NA,NA,Republican era,NA
2507,NA,NA,Republican era,NA
2510,NA,NA,Republican era,NA
2519,NA,NA,Republican era,NA
2522,NA,NA,Republican era,NA
2529,NA,NA,Republican era,NA
2532,NA,NA,Republican era,NA
2538,NA,NA,Republican era,NA
2541,NA,NA,Republican era,NA
2544,NA,NA,Republican era,NA
2548,NA,NA,Republican era,NA
2556,NA,NA,Republican era,NA
2558,NA,NA,Republican era,NA
2562,NA,NA,Republican era,NA
2566,NA,NA,Republican era,NA
2582,NA,NA,Republican era,NA
2588,NA,NA,Republican era,NA
2601,NA,NA,Republican era,NA
2622,NA,NA,Republican era,NA
2624,NA,NA,Republican era,NA
2635,NA,NA,Republican era,NA
2640,NA,NA,Republican era,NA
2643,NA,NA,Republican era,NA
2647,NA,NA,Republican era,NA
2657,NA,NA,Republican era,NA
2668,NA,NA,Republican era,NA
2670,NA,NA,Republican era,NA
2676,Chinese Institute of Engineers 中華工程師學會,NA,Republican era,NA
2682,Chinese Institute of Mining and Metallurgy 中國礦冶工程學會,NA,Republican era,NA
2699,NA,NA,Republican era,NA
2708,Chinese Institute of Mining and Metallurgy 中國礦冶工程學會,NA,Republican era,NA
2719,NA,NA,Republican era,NA
2721,NA,NA,Republican era,NA
2724,NA,NA,Republican era,NA
2727,NA,NA,Republican era,NA
2731,NA,NA,Republican era,NA
2734,NA,NA,Republican era,NA
2737,Chinese Institute of Mining and Metallurgy 中國礦冶工程學會,NA,Republican era,NA
2745,NA,NA,Republican era,NA
2747,NA,NA,Republican era,NA
2775,NA,NA,Republican era,NA
2777,NA,NA,Republican era,NA
2779,NA,NA,Republican era,NA
2784,NA,NA,Republican era,NA
