college_id,college_name,location_id
38101,Louis U.,1387
38106,Deutsches Institut für Zuckerindustrie,432
38400,Heald Eng. C.,NA
39350,北洋文學院,427
39613,Kansas S. Agr. C.,161
39737,Köthen Gewerbe H.,21149
40059,德國佛家城工業大學,40060
40187,日本福岡明治工業學校,29091
40430,Technikum Mittweida,40431
40812,Charleroi  飛機製造廠,3064
40928,柏林地質調查所,432
41192,日本東亞鐵道專門學校,258
41253,日本福岡明治工業専門學校,29091
41336,Marseille I. E.,41337
41437,湖南高級工業學校 (湖南高工),67
41630,江西工業專科學校,70
41649,北平中華汽爐廠,410
41726,雷士德學院,NA
41973,Bruxelles L. U.,3060
42019,江蘇第一工業學校,71
42048,日本鐵道局教習所附設高等專門學校,258
42524,燕京大學研究所 (燕京大學研究院),NA
43049,Verreries S. M. E.,159
43068,Java U.,1850
43300,山西公立工專,76
44085,Waseda University 日本早稻田大學,604
44220,中央防空學校,999
44229,Valparaiso U.,12065
44589,University of New Hampshire,154
44776,美 Wooster U.,44777
44779,Ohio U.,26744
44887,山西省立工專,76
45181,Royal Marines S.,NA
45245,美 Detroit Edison Co. Research Dept.,34866
45488,Armour Institute of Technology,12065
45521,Northwest Test Lab,NA
45594,湖南礦產化驗所,67
45691,Grenoble S. E. E.,1370
45957,山東公立礦業專校,77
45969,東三省無線電專門學校,NA
46066,Clermont U.,46067
46209,Hamline U.,46210
46464,日本福岡明治專校,29091
46522,Mellon I. I. R.,1387
46643,Lincoln University,NA
46713,湖南高等實業學堂,67
47079,日本國立工業大學,258
47146,江蘇第一工專,71
47392,浙江工學院,62
47710,麥基爾大學,47711
48111,Albany C.,45858
48244,日本秋田鑛山專門學校,729
48542,河北工業學校,63
48679,福中鑛務大學,NA
48696,南陽大學,9772
48973,交通大學研究所,NA
49247,University of Detroit,34866
49391,經濟委員會公路工程司訓練班,NA
49683,Downing College,1387
49728,日本鐵道院東亞鐵道專門學校,258
49871,Dodge Radio S.,1387
50200,Tri-State College,50201
50638,日本東京工科大學,604
50776,南昌航空機械學校高機班,522
50811,杭州飛機製造廠,999
50899,Missouri M. S.,271
51010,日本東京帝國大學工學部,604
51124,G. E. Co. 研究所,NA
51340,R. Tech. C.,125
52277,美國都林工學院,1387
53032,中央大學電話及無線電試驗室,90
53262,廣東工專,74
53304,Indiana University,228
53400,University of Idaho,53401
54023,Arlon Metiers A. E.,2753
54446,Bristol Flying School,54447
54483,Virginia P. I.,268
54996,Ypres 省立工專,35793
55176,Trinity College (Trinity C.),45807
56177,比國維爾東高等工業專校,2753
56464,N. Y. Ceramics S.,146
56963,Braunschweiger T. H.,56964
56967,Rheinland F. S.,56968
57600,"Texas C,",264
58130,法國北方工科大學,159
58662,日本福岡工專,29091
58736,Alger U.,159
58884,Mulhouse 紡織專門學校,2279
58929,Bethel College,58930
59126,河北工專,63
59261,軍委會交通研究所,NA
